Mértékegységek|mertekegyseg.pdf|Mértékegység átváltások
Egyenes vonalú, egyenletes mozgás|egyenes_vonalu_egyenletes.pdf|Feladatok egyenes vonalú, egyenletes mozgásra
Egyenes vonalú, egyenletesen változó mozgás|egyenletesen_valtozo.pdf|Feladatok egyenes vonalú, egyenletesen változó mozgásra
Munka, energia, teljesítmény, hatásfok|energia.pdf|Feladatok munka, energia, teljesítmény és hatásfok fogalmakra
Hőtani feladatok|hocsere_07.pdf|Fajhő, olvadáshő, forráshő, égéshő, hőcsere
Nyomás feladatok|nyomas.pdf|Feladatok nyomásra, hidrosztatikai nyomásra
Felhajtóerő feladatok|felhajtoero.pdf|Feladatok Arkhimédesz törvényére
