title,desc,date,link
"RSync, transmission","Transmission szerver RPI-n",2015-12-27,rsync_transmission.html
"HTML feldolgozás","HTML feldolgozás céleszközökkel",2016-01-23,html_parse.html
"Videókonvertálás","asztali DVD-lejátszók számára",2016-01-28,ffmpeg_dvd_player.html
"pdfjam oldal válogatás","különböző pdf-fájlokból",2016-03-22,pdfjam.html
"PDF jelszó eltávolítás","jelszó ismeretében",2016-03-24,pdf_jelszo.html
"Háttér változtatása feh-hel","akár cron használatával",2016-05-26,feh_wallpaper.html
