2017-09-19|SVN repository mirror (svnsync)|/notes/svn/svnsync.html
2017-09-25|Sorozatok összefoglaló|/edu/math/guide/
2017-09-26|Normálalak gyakorló feladatok|/edu/math/exams/07.html
2017-10-01|SVN mirror into GitHub|/notes/svn/svn-mirror-github.html
2017-10-07|SVN (vagy GIT) taskwarrior-ral|/notes/svn/svn-taskwarrior.html
2017-10-10|Hatványozás egész kitevőre gyakorló|/edu/math/exams/09.html
2017-10-12|Normálalak (9. évfolyam) gyakorló|/edu/math/exams/09.html
2017-10-14|Pénzügy bemutató handout formában|/edu/eco/
2017-10-24|Bor Pál fizikaverseny 2016-2017-es tanévének feladatsorai|/edu/phys/comp/borpal/2016.html
2017-10-24|Mikola Sándor fizikaverseny 2015-2016-os tanévének kiegészítése|/edu/phys/comp/mikola/2015.html
2017-10-24|Mikola Sándor fizikaverseny 1996-1997-es tanévtől 2007-2008-as tanévig|/edu/phys/comp/mikola/
