/edu/math/comp/aranyd/|Arany Dániel Matematikaverseny|Budapest|http://www.bolyai.hu/aranydaniel.htm
/edu/math/comp/bolyai/|Bolyai Csapatverseny|Budapest|https://bolyaiverseny.hu/
/edu/math/comp/imolya/|Imolya Sándor Matematikaverseny|Hódmezővásárhely|http://bgrg.hu/
/edu/math/comp/kalmar/|TIT Kalmár László Matematikaverseny|Budapest|http://www.titkalmarlaszlomatematikaverseny.hu/
/edu/math/comp/nlg/|Németh László Városi Matematikaverseny|Hódmezővásárhely|http://nlg.hodtav.hu/
/edu/math/comp/nemzetkozi/|Nemzetközi Magyar Matematikaverseny|Közép-Európa|http://nmmv.berzsenyi.hu/
/edu/math/comp/oktv/|Matematika OKTV|Budapest|https://www.oktatas.hu/kozneveles/tanulmanyi_versenyek_/oktv_nyito
/edu/math/comp/szfvi/|Szőkefalvi-Nagy Gyula Matematikai Emlékverseny|Szeged|http://www.math.u-szeged.hu/mathweb/index.php/hu/leendo-hallgatoinknak/versenyek-koezepiskolasoknak/113-szokefalvi-nagy-gyula-matematikaverseny
/edu/phys/comp/borpal/|Bor Pál Fizikaverseny|Szeged|http://borpal.hu/
/edu/phys/comp/budo/|Budó Ágoston Fizikai Feladatmegoldó Verseny|Szeged|http://titan.physx.u-szeged.hu/budoverseny/
/edu/phys/comp/mikola/|Mikola Sándor Országos Középiskolai Tehetségkutató Fizikaverseny|Pécs|http://www.leoweypecs.hu/mikola/
/edu/phys/comp/tornyai/|Tornyai Sándor Fizikaverseny (Református Középiskolák Országos Fizikai Feladatmegoldó Versenye)|Hódmezővásárhely|http://bgrg.hu/content/fizika-0
