/edu/phys/art/atom/|Atom- és részecskefizika|Atomfizika, magfizika, atomerőművek, Csernobil, elemi részek fizikája
/edu/phys/art/csillag/|Csillagászat|Csillagászat, űrkutatás, csillagok, exobolygók
/edu/phys/art/elektr/|Elektromosságtan|Egyen- és váltakozó áramú áramkörök, kondenzátorok
/edu/phys/art/em/|Elektromágnesesség|Elektromágnesesség
/edu/phys/art/feny/|Fénytan|Optika, fény viselkedése
/edu/phys/art/fiztori/|Fizikatörténet|Tudósok élete, életműve, érdekességek
/edu/phys/art/hang/|Hangtan|Hang terjedése, tulajdonságai
/edu/phys/art/mech/|Mechanika|Kinematika, dinamika, egyensúlyok, energia
/edu/phys/art/meres/|Mérésleírások|Érdekes mérések leírásai
/edu/phys/art/modern/|Modern fizika|Kvantummechanika
/edu/phys/art/ped/|Oktatásmódszertan|A fizika oktatásának lehetőségei, a fizika érdekessé tétele
/edu/phys/art/relelm/|Relativitáselmélet|Speciális és általános relativitáselmélet
