optikai_racs-szivarvany.webm|txt://Szabó Dénes felvétele (kezdőkép: Korom Lili)|Szivárvány létrehozása optikai ráccsal
kamera_helikopter.mp4|https://www.youtube.com/watch?v=yr3ngmRuGUc|Helikopter repülése "álló" rotorral
kamera_helikopter_2.mp4|https://www.youtube.com/watch?v=f2FsS69p0iM|Helikopter repülése "álló" rotorral
