Kombinatorikai feladatok|kombinatorika.pdf|Kombinációk megjelenése, vegyes összeszámlálási feladatok
Gráfos feladatok|grafok.pdf|Gráfelméleti feladatok
Trigonometrikus egyenletek|trig_egyenlet.pdf|Alapvető és másodfokú egyenletre vezető trigonometrikus egyenletek
Sinus- és cosinus-tétel|sin_cos_tetel.pdf|Feladatok szinusz- és koszinusztétel alkalmazására
Exponenciális és logaritmikus egyenletek|exp_log_egyenlet.pdf|Alapvető és másodfokú egyenletre vezető exponenciális és logaritmikus egyenletek, és egyenlőtlenségek
Exp., logaritmusos egyenletrendszerek|exp_log_erendszer.pdf|Exponenciális és logaritmusos egyenletrendszerek, egyenlőtlenségek, gyakorlati alkalmazások
Koordinátageometria alapozó feladatok|koordgeo.pdf|Koordinátageometria feladatok - az alapok elsajátítására
Koordinátageometria összetettebb feladatok|koordgeo_osszetett.pdf|Koordinátageometria összetettebb feladatok
Sorozatok (emelt szint)|sorozatok-emelt.pdf|Sorozatok monotonitása, korlátossága, határértéke
Függvények deriválása|fgv_derivalas.pdf|Függvények deriválása
Függvények deriválása az érettségin|fgv_derivalas_erettsegi.pdf|Deriválásos feladatok az emelt szintű matematika érettségin
