Skatulya-elv|skatulya.pdf|Feladatok skatulya-elvre
Kombinatorika|kombinatorika_10.pdf|Permutációk, ismétléses permutációk, variációk
Műveletek gyökökkel|gyokok.pdf|Négyzetgyökös kifejezésekkel való számolás
n-edik gyökvonás|ngyok.pdf|n-edik gyökvonás azonosságaira feladatsor
Magasságtétel, befogótétel, kör részei|magbeftetel_kor.pdf|Magasságtétel, befogótétel, körív hossza, körcikk területe
Másodfokú, gyökös egyenletek|masodfoku_gyokos_egyenletek.pdf|Másodfokú egyenletek, egyenlőtlenségek, négyzetgyökös egyenletek
Másodfokú szöveges feladatok|masodfoku_szoveges.pdf|Másodfokú egyenletre vezető szöveges feladatok
Számtani és mértani közép|kozepek.pdf|Egyszerű feladatok a számtani és mértani közép alkalmazására
Trigonometria feladatok|trigonometria.pdf|Derékszögű háromszögekre vonatkozó trigonometrikus feladatok
Trigonometrikus egyenletek|trig_egyenlet.pdf|Trigonometrikus egyenletek az alapoktól a másodfokúakig
