150708_VargaJ.pdf|Varga János|A zsonglőrködés fizikája
1603_Nagy-Czirok_KisziM_TihanyiJ_KiralyK_GudmonO_KovecsL_HorvathG.pdf|Nagy-Czirok Lászlóné, Tihanyi Janka, Király Kata, Gudmon Olivér, Kövécs Levente, Horváth Gábor|Odüsszeusz íjának titka - Az íj feszítési görbéjének hőmérsékletfüggése
1604_GruizM_MeszenaT_TelT.pdf|Gruiz Márton, Meszéna Tamás, Tél Tamás|Kaotikus vagy csak összetett? Labdák pattogása lépcsőn
1604_MateM_Chinh_fuggelek.pdf|Máté Mihály, Nguyen Q. Chinh|Ragasztószalagok leválásának dinamikája: sebességfüggés és instabilitás
1609_FizSzem-201609_04KissMiklos.pdf|Kiss Miklós|Ütközésekről középiskolában - másként
