hu,path,tooltip
"Összefoglaló","penzugy_osszefoglalo.pdf","Pénzügyi és gazdasági alapismeretek összefoglaló"
"Feladatok","penzugy_feladatok.pdf","Pénzügyi és gazdasági feladatok"
