2012|03|Döntő|1213/donto3.pdf
2012|04|Döntő|1213/donto4.pdf
2012|05|Döntő|1213/donto5.pdf
2012|06|Döntő|1213/donto6.pdf
2012|07|Döntő|1213/donto7.pdf
2012|08|Döntő|1213/donto8.pdf
2012|összes|Döntő megoldás|1213/donto_megold.pdf
2012|összes|Döntő szóbeli|1213/donto_szobeli.pdf
2012|összes|Döntő szóbeli megoldás|1213/donto_szobeli_megold.pdf
2012|03|Első forduló|1213/megyei3.pdf
2012|04|Első forduló|1213/megyei4.pdf
2012|05|Első forduló|1213/megyei5.pdf
2012|06|Első forduló|1213/megyei6.pdf
2012|07|Első forduló|1213/megyei7.pdf
2012|08|Első forduló|1213/megyei8.pdf
2012|összes|Első forduló megoldás|1213/megyei_megold.pdf
2013|03|Döntő|1314/donto3.pdf
2013|04|Döntő|1314/donto4.pdf
2013|05|Döntő|1314/donto5.pdf
2013|06|Döntő|1314/donto6.pdf
2013|07|Döntő|1314/donto7.pdf
2013|08|Döntő|1314/donto8.pdf
2013|összes|Döntő megoldás|1314/donto_megold.pdf
2013|összes|Döntő szóbeli|1314/donto_szobeli.pdf
2013|összes|Döntő szóbeli megoldás|1314/donto_szobeli_megold.pdf
2013|03|Első forduló|1314/megyei3.pdf
2013|04|Első forduló|1314/megyei4.pdf
2013|05|Első forduló|1314/megyei5.pdf
2013|06|Első forduló|1314/megyei6.pdf
2013|07|Első forduló|1314/megyei7.pdf
2013|08|Első forduló|1314/megyei8.pdf
2013|összes|Első forduló megoldás|1314/megyei_megold.pdf
2014|03|Döntő|1415/donto3.pdf
2014|04|Döntő|1415/donto4.pdf
2014|05|Döntő|1415/donto5.pdf
2014|06|Döntő|1415/donto6.pdf
2014|07|Döntő|1415/donto7.pdf
2014|08|Döntő|1415/donto8.pdf
2014|összes|Döntő megoldás|1415/donto_megold.pdf
2014|összes|Döntő szóbeli|1415/donto_szobeli.pdf
2014|összes|Döntő szóbeli megoldás|1415/donto_szobeli_megold.pdf
2014|03|Első forduló|1415/megyei3.pdf
2014|04|Első forduló|1415/megyei4.pdf
2014|05|Első forduló|1415/megyei5.pdf
2014|06|Első forduló|1415/megyei6.pdf
2014|07|Első forduló|1415/megyei7.pdf
2014|08|Első forduló|1415/megyei8.pdf
2014|összes|Első forduló megoldás|1415/megyei_megold.pdf
2014|05|Nemzetközi|1415/nemzetkozi_05.pdf
2014|06|Nemzetközi|1415/nemzetkozi_06.pdf
2014|07|Nemzetközi|1415/nemzetkozi_07.pdf
2014|08|Nemzetközi|1415/nemzetkozi_08.pdf
2014|09|Nemzetközi megoldás|1415/nemzetkozi_megold.pdf
2015|03|Döntő|1516_donto3.pdf
2015|04|Döntő|1516_donto4.pdf
