hu,path,tooltip
"Nevezetes azonosságok","nevezetes_azonossagok.pdf","Zárójel-felbontás, teljes négyzet, szorzattá alakítás"
"Algebrai törtek, egyenletek megoldása","algebrai_tortek.pdf","Algebrai törtek egyszerűsítése, egyenletek megoldása szorzattá alakítással"
"Kombinatorika","kombinatorika_08.pdf","Egyszerűbb összeszámlálási feladatok"
"Valószínűségszámítás","valoszinusegszamitas.pdf","Valószínűségszámítási feladatok (kombinatorikai úton számíthatóak)"
