hu,path,tooltip
"Kombinatorikai feladatok","kombinatorika.pdf","Kombinációk megjelenése, vegyes összeszámlálási feladatok"
"Gráfos feladatok","grafok.pdf","Gráfelméleti feladatok"
"Trigonometrikus egyenletek","trig_egyenlet.pdf","Alapvető és másodfokú egyenletre vezető trigonometrikus egyenletek"
"Sinus- és cosinus-tétel","sin_cos_tetel.pdf","Feladatok szinusz- és koszinusztétel alkalmazására"
"Exponenciális és logaritmikus egyenletek","exp_log_egyenlet.pdf","Alapvető és másodfokú egyenletre vezető exponenciális és logaritmikus egyenletek, és egyenlőtlenségek"
